Time(ns) Atom xpos(nm) ypos(nm) zpos(nm)
0.003 26 1.79537 0.0938416 1.70684
0.003 27 3.42274 9.86654 1.79212
0.003 28 4.89035 0.156468 1.69087
0.003 29 6.59407 0.219112 1.70182
0.003 30 0.0492015 1.7282 1.78681
0.003 31 1.66059 1.79669 1.72994
0.003 32 3.26044 1.76627 1.68191
0.003 33 5.07824 1.83332 1.764
0.003 34 6.29789 1.78964 1.69998
0.003 35 0.153708 3.24966 1.72984
0.003 36 1.8461 3.45616 1.76786
0.003 37 3.39614 3.45371 1.62034
0.003 38 4.9933 3.34321 1.78087
0.003 39 6.73273 3.37668 1.41909
0.003 40 0.0617685 5.15913 1.82303
0.003 41 1.80029 5.22104 1.84811
0.003 42 3.33745 4.92861 1.77214
0.003 43 4.98355 4.89418 1.68022
0.003 44 6.8783 4.9501 1.70171
0.003 45 0.247265 6.4903 1.82762
0.003 46 1.74478 6.71146 1.6476
0.003 47 3.29735 6.80092 1.75228
0.003 48 5.02952 6.97933 1.85515
0.003 49 6.67461 6.77571 1.74987
0.003 50 0.234206 0.151533 3.32155
0.003 51 1.65542 0.0878928 3.31634
0.003 52 3.32522 0.0420946 3.46065
0.003 53 5.09085 0.224703 3.48363
0.003 54 6.58935 0.0776954 3.40498
0.003 55 0.247858 1.8062 3.43248
0.003 56 1.74005 1.86335 3.43598
0.003 57 3.47666 1.7873 3.47649
0.003 58 5.13727 1.79483 3.3614
0.003 59 6.64184 1.86418 3.17758
0.003 60 0.271309 3.33947 3.19411
0.003 61 1.90135 3.41083 3.32574
0.003 62 3.49693 3.22917 3.5774
0.003 63 5.00468 3.40258 3.45001
0.003 64 6.62285 3.61871 3.52269
0.003 65 0.0652866 5.01474 3.48977
0.003 66 1.56738 5.09844 3.32602
0.003 67 3.33915 5.03393 3.32906
0.003 68 5.09363 4.87414 3.34064
0.003 69 6.73762 4.8995 3.55759
0.003 70 0.111608 6.5238 3.38564
0.003 71 1.53496 6.66954 3.33967
0.003 72 3.45343 6.75194 3.4042
0.003 73 4.8269 6.6313 3.27381
0.003 74 6.68517 6.71391 3.23065
0.003 75 0.00168918 0.0486143 5.02374
0.003 76 1.67878 0.0528661 4.92688
0.003 77 3.46298 0.20423 5.00707
0.003 78 5.02825 0.128164 5.0452
0.003 79 6.67922 0.00642255 5.03823
0.003 80 9.97947 1.79921 4.96627
0.003 81 1.67232 1.64636 5.05622
0.003 82 3.52767 1.7712 5.12837
0.003 83 5.04253 1.72229 4.95508
0.003 84 6.78091 1.85943 5.0908
0.003 85 0.0843741 3.22104 5.00359
0.003 86 1.63369 3.57571 5.09223
0.003 87 3.44564 3.38097 4.93522
