Time(ns) Atom xvel(nm/ns) yvel(nm/ns) zvel(nm/ns)
0.003 96 -47.668 5.59343 11.2546
0.003 97 -57.7526 5.26313 17.4808
0.003 98 27.7659 -14.063 -34.7504
0.003 99 16.8485 -45.53 25.7682
0.004 0 25.4729 -38.9481 15.9877
0.004 1 24.0816 27.0994 -10.1177
0.004 2 67.6073 48.642 -28.9859
0.004 3 -57.4402 -34.9142 -13.3585
0.004 4 5.80952 52.8258 -4.31112
0.004 5 10.5383 -36.351 1.33532
0.004 6 7.21256 11.2941 -18.1981
0.004 7 -39.3592 53.9276 -32.1215
0.004 8 1.57918 19.3143 44.9059
0.004 9 11.6125 -19.0282 -19.9692
0.004 10 62.3734 -24.6947 9.54304
0.004 11 -8.73971 -15.8595 -16.1332
0.004 12 -3.61361 -1.49409 -91.1307
0.004 13 -0.436047 0.952515 -24.5157
0.004 14 -18.6953 -59.4355 33.7875
0.004 15 52.8582 -32.9686 -14.8851
0.004 16 -11.7919 13.2162 11.7659
0.004 17 36.0663 -30.3355 6.18361
0.004 18 -37.5818 27.8735 -10.5314
0.004 19 -47.5485 4.95867 43.3363
0.004 20 -2.65962 -54.6327 47.711
0.004 21 33.6498 -19.1004 -3.84798
0.004 22 -35.9222 -27.0365 43.2611
0.004 23 -65.3449 5.84961 4.68904
0.004 24 -23.7547 -4.28259 -33.9737
0.004 25 1.13753 -73.8547 99.8662
0.004 26 15.1311 -1.9964 -14.3688
0.004 27 7.6252 -77.7471 14.0488
0.004 28 -53.2675 18.8749 -19.7323
0.004 29 -35.3789 39.7891 -16.0761
0.004 30 -16.8335 -7.19461 12.2773
0.004 31 -29.7933 15.5754 -6.68749
0.004 32 -46.5531 5.4548 -22.7131
0.004 33 9.83068 27.8072 4.62144
0.004 34 -134.473 13.2248 -16.6133
0.004 35 17.9793 -50.1777 -6.66153
0.004 36 32.0664 18.6988 5.9881
0.004 37 -1.30497 17.9644 -43.2108
0.004 38 -18.9218 -18.9475 10.2893
0.004 39 10.8109 -7.8168 -110.687
0.004 40 -12.644 36.5735 24.367
0.004 41 16.7799 57.0634 32.7519
0.004 42 -20.8675 -40.5361 7.39663
0.004 43 -22.1872 -52.0063 -23.2649
0.004 44 59.3651 -33.3339 -16.1741
0.004 45 49.1661 -70.1261 25.8828
0.004 46 -1.7479 3.68386 -34.1427
0.004 47 -34.2559 33.5819 0.721772
0.004 48 -6.83357 93.0437 35.1245
0.004 49 -8.52872 25.1953 0.0331832
0.004 50 44.8719 17.1846 -26.3619
0.004 51 -31.625 -3.97728 -27.8846
0.004 52 -24.9333 -19.2381 20.2446
0.004 53 13.6745 41.6503 27.9148
0.004 54 -36.9971 -7.37648 1.67486
0.004 55 49.3994 18.7665 10.8387
0.004 56 -3.38565 37.8226 11.9972
0.004 57 25.5719 12.5333 25.5303
0.004 58 29.1213 14.9383 -12.8724
0.004 59 -19.5284 38.0549 -74.1996
0.004 60 57.1716 -20.2252 -68.7023
0.004 61 50.4381 3.56948 -24.7941
0.004 62 32.3373 -57.01 59.2858
0.004 63 -15.1364 0.906203 16.6833
0.004 64 -25.7724 73.1695 40.9774
0.004 65 -11.4525 -11.6905 29.9196
0.004 66 -60.9173 16.1823 -24.711
0.004 67 -20.2752 -5.36083 -23.6746
0.004 68 14.5484 -58.7091 -19.7868
0.004 69 12.4371 -50.45 52.5714
0.004 70 4.0375 -58.8366 -4.83644
0.004 71 -71.7975 -10.2673 -20.1231
0.004 72 17.9583 17.2395 1.3676
0.004 73 -74.4995 -22.9113 -42.1177
0.004 74 -4.98769 4.59839 -56.5373
0.004 75 -32.7044 -17.0767 -8.81138
0.004 76 -23.7575 -15.6252 -41.1169
0.004 77 21.0367 34.8249 -14.4036
0.004 78 -7.27142 9.47708 -1.7015
0.004 79 -6.99527 -31.1498 -3.99394
0.004 80 -40.093 16.5098 -27.999
0.004 81 -25.9134 -34.5814 1.98546
0.004 82 42.6218 7.05498 26.0193
0.004 83 -2.54843 -9.25939 -31.7178
0.004 84 26.911 36.5059 13.5573
0.004 85 -5.13588 -59.7529 -15.5198
0.004 86 -38.7872 58.6738 14.0056
0.004 87 15.2826 -6.31362 -38.4662
0.004 88 -13.3547 18.0175 4.49227
0.004 89 -9.33583 35.7478 3.2209
0.004 90 -77.7797 -24.9155 3.89008
0.004 91 25.5851 -20.4955 -22.0209
0.004 92 62.0809 -61.3234 -29.1509
0.004 93 2.34403 -17.1548 21.5275
0.004 94 3.29741 -57.3662 25.3696
0.004 95 36.048 59.9047 32.4466
0.004 96 -47.725 5.58681 11.2385
0.004 97 -57.7701 5.25096 17.4578
0.004 98 27.7787 -14.0907 -34.7673
0.004 99 16.8198 -45.5515 25.7545
0.005 0 25.4961 -38.9196 15.9949
0.005 1 24.0699 27.1324 -10.0878
0.005 2 67.868 48.566 -28.9513
0.005 3 -57.7056 -34.803 -13.3457
0.005 4 5.79737 52.9351 -4.28515
0.005 5 10.5704 -36.3496 1.35946
0.005 6 7.24419 11.3113 -18.1723
0.005 7 -39.3989 53.9674 -32.1032
0.005 8 1.59644 19.3363 44.9692
0.005 9 11.5809 -19.084 -19.9335
0.005 10 62.4778 -24.6869 9.56763
0.005 11 -8.81905 -15.8893 -16.1047
0.005 12 -3.61616 -1.52694 -91.0875
0.005 13 -0.431059 0.93501 -24.4852
0.005 14 -18.646 -59.3325 34.3844
0.005 15 52.9403 -32.9551 -14.8561
0.005 16 -11.8562 13.2349 11.7805
0.005 17 36.1463 -30.3306 6.20365
0.005 18 -37.655 27.8689 -10.4913
0.005 19 -47.5623 4.96363 43.3847
0.005 20 -2.6315 -54.669 47.7461
0.005 21 33.7232 -19.1477 -3.78179
0.005 22 -35.977 -27.0472 43.297
0.005 23 -65.3711 5.80721 4.70647
0.005 24 -23.7693 -4.30716 -33.9528
0.005 25 1.20149 -73.7516 100.096
0.005 26 15.1364 -1.9783 -14.3586
0.005 27 7.6567 -77.7117 14.0517
0.005 28 -53.3025 18.8842 -19.7436
0.005 29 -35.4068 39.8251 -16.0875
0.005 30 -16.786 -7.1444 12.2802
0.005 31 -29.7891 15.5833 -6.68831
0.005 32 -46.5746 5.47111 -22.7229
0.005 33 10.5751 27.7967 4.52998
